               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.074773,            0.056441,                   0,           0.0078571,                 0.6,           0.0099458,           0.0023652,            0.071725,            0.039623,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.072089,            0.058627,                   0,           0.0078571,                 0.6,           0.0098968,           0.0026485,            0.070829,            0.040485,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.072851,            0.056122,                   0,            0.007619,             0.58182,            0.097674,            0.015707,            0.071239,            0.039597,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.069167,            0.056708,                   0,           0.0080952,             0.61818,            0.031491,           0.0076921,            0.070647,            0.040222,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.070144,            0.058993,                   0,            0.042544,             0.61818,             0.10772,            0.027483,            0.067938,            0.038746,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.070363,            0.053513,                   0,             0.12247,            0.018182,            0.057241,            0.016775,            0.067347,            0.040066,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.066991,            0.056199,                   0,             0.47284,            0.098225,            0.081112,            0.016213,            0.070672,            0.049458,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.067079,            0.059836,                   0,           0.0048254,             0.14545,           0.0032361,          0.00062314,            0.092699,              1.4812,                   0,            0.008581,            0.008581,            0.008581
                  45,             0.06623,            0.055846,                   0,            0.020825,            0.054545,            0.013401,           0.0025537,            0.085956,             0.45619,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.068469,            0.050534,                   0,            0.027422,             0.36364,            0.017677,           0.0052852,            0.071214,            0.087887,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.065917,            0.053561,                   0,            0.063364,             0.21818,            0.049196,             0.01806,            0.065523,            0.055912,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.065436,             0.04926,                   0,           0.0040476,             0.30909,             0.02241,            0.015297,            0.083687,            0.035473,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.065292,            0.049674,                   0,           0.0030952,             0.23636,           0.0030439,          0.00098334,            0.078107,             0.04179,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.062979,            0.051361,                   0,           0.0016667,             0.12727,           0.0010386,          0.00020363,            0.098383,            0.028488,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.063316,            0.048196,                   0,             0.39334,            0.018182,            0.015839,           0.0034639,            0.077561,            0.038437,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.061836,            0.048422,                   0,              0.3199,                 0.2,             0.13903,            0.030323,            0.074477,            0.033813,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.062265,            0.050021,                   0,             0.40584,             0.28574,             0.24014,              0.0852,            0.069942,            0.037064,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.059101,            0.053423,                   0,            0.090066,             0.21818,            0.070634,            0.020097,            0.070425,            0.079315,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.061876,            0.048742,                   0,            0.091442,            0.036364,            0.011081,           0.0045748,            0.076449,            0.042408,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.058531,            0.044621,                   0,            0.038541,             0.10909,            0.010804,           0.0029687,            0.075984,            0.075344,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.058676,            0.046092,                   0,            0.062505,            0.072727,            0.034463,            0.015338,            0.076817,             0.14934,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.057486,            0.051609,                   0,             0.05211,             0.16364,            0.016971,           0.0039307,            0.076443,            0.095192,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.056402,            0.044934,                   0,             0.39524,             0.30909,             0.25257,            0.060472,            0.066004,             0.04417,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.057232,            0.047509,                   0,             0.47363,             0.32727,             0.34503,             0.10271,             0.06288,              0.0336,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.056643,            0.045754,                   0,             0.45151,             0.10909,             0.13453,            0.034611,             0.06631,            0.037418,                   0,             0.00802,             0.00802,             0.00802
