               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.042637,            0.026752,                   0,             0.90957,             0.91444,             0.92455,               0.491,            0.035936,            0.020494,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.040633,            0.026046,                   0,             0.66639,             0.92727,               0.767,             0.45334,            0.040095,            0.021566,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.040141,            0.025852,                   0,             0.90918,             0.89091,             0.88644,             0.31664,            0.044448,            0.025635,                   0,            0.008713,            0.008713,            0.008713
                  41,             0.04024,            0.026379,                   0,             0.82153,             0.89091,              0.8971,             0.54016,            0.038288,            0.022713,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.038457,            0.024047,                   0,             0.91975,             0.90909,             0.93067,             0.47684,            0.037309,            0.021076,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.038446,            0.025622,                   0,             0.74082,             0.90909,             0.82206,             0.52437,            0.036691,            0.021118,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.037049,            0.026302,                   0,             0.92329,             0.90909,             0.92348,             0.50335,            0.034599,            0.020744,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.035629,            0.025791,                   0,             0.80296,             0.87273,             0.86711,             0.51222,            0.035035,            0.028511,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.034296,            0.023865,                   0,             0.89565,             0.93647,             0.93136,             0.48056,             0.03492,             0.02227,                   0,            0.008515,            0.008515,            0.008515
                  47,             0.03612,            0.024121,                   0,             0.85701,             0.90909,              0.9217,             0.54155,            0.038713,            0.025871,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.035133,            0.021275,                   0,             0.79802,             0.92727,             0.86909,             0.51672,            0.031892,             0.02243,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.034725,            0.022854,                   0,             0.80321,             0.92727,             0.90176,               0.559,            0.032626,            0.024464,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.032329,            0.023386,                   0,             0.86549,             0.93595,             0.89501,             0.54793,            0.033237,            0.024757,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.032892,             0.02157,                   0,             0.89241,             0.90492,             0.90894,             0.57858,            0.033244,            0.024967,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.032668,            0.022589,                   0,             0.91185,              0.9404,             0.88408,             0.53062,            0.033709,            0.021196,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.034918,             0.02304,                   0,             0.87931,             0.94545,             0.92633,             0.62311,            0.030937,             0.01947,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.033424,            0.024709,                   0,             0.90436,             0.94545,               0.927,             0.60261,            0.030455,            0.019213,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.032753,             0.02359,                   0,             0.86418,             0.92552,             0.91313,             0.64437,            0.031011,            0.018856,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.031984,            0.020015,                   0,              0.8543,             0.96364,             0.93643,             0.64086,            0.028997,            0.017433,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.030838,            0.021203,                   0,             0.92639,             0.91529,             0.95442,             0.66598,            0.026696,            0.016569,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.030012,            0.024197,                   0,              0.9007,             0.92727,             0.96245,             0.65546,            0.028344,            0.017328,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.029965,            0.019779,                   0,             0.91453,             0.90909,             0.94513,             0.67763,            0.027127,             0.01712,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.030544,            0.022417,                   0,             0.93617,             0.92727,             0.93316,              0.6445,            0.028073,            0.018087,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.029954,            0.022081,                   0,             0.92863,             0.90909,             0.91872,             0.65377,             0.02674,            0.019096,                   0,             0.00802,             0.00802,             0.00802
